"Lonely";"Akon"
"Mon Cœur Mon Amour";"Anaïs"
"Stach Stach";"Bratisla Boys"
"...Baby One More Time";"Britney Spears"
"Les marchands de rêves";"Corneille"
"DJ";"Diam's"
"Jeune demoiselle";"Diam's"
"Fous ta cagoule";"Fatal Bazooka"
"Pas de glace";"Jane Fostin & Medhy Custos"
"Jenny From The Block";"Jennifer Lopez"
"Partons Vite";"Kaolin"
"Louxor J'Adore";"Katerine"
"Histoires de luv";"K'Maro"
"Petite sœur";"Lââm"
"Et j'attends";"Leslie"
"Hommes...femmes";"Lynnsha";"D. Dy"
"De retour";"M. Pokora"
"Elles demandent";"Medhy Custos"
"Amies ennemies";"Nâdiya"
"Roc";"Nâdiya"
"Gabriel";"Najoua Belyzel"
"La Femme Chocolat";"Olivia Ruiz"
"J'traîne des pieds";"Olivia Ruiz"
"Emmène-moi avec toi";"Perle Lama"
"Femme de couleur";"Shy'm"
"Victoire";"Shy'm"
"A Chaque Seconde";"Sinclair"
"Ne dis jamais";"Sinik";"Vitaa"
"Butterfly";"Superbus"
"A fleur de toi";"Vitaa"
