"Heartbeat";"Annie"
"Pieces of Me";"Ashlee Simpson"
"Sk8er Boi";"Avril Lavigne"
"Crazy in Love";"Beyoncé"
"Shut Up";"Black Eyed Peas"
"What's My Age Again?";"Blink-182"
"Should I Stay or Should I Go";"The Clash"
"Bohemian Like You";"The Dandy Warhols"
"Paid in Full";"Eric B. & Rakim"
"Stacy's Mom";"Fountains of Wayne"
"Love Machine";"Girls Aloud"
"I Just Wanna Live";"Good Charlotte"
"Main Offender";"The Hives"
"The Reason";"Hoobastank"
"Stop";"Jamelia"
"Eyes on You";"Jay Sean";"Rishi Rich"
"Super Duper Love (Are You Diggin' on Me)";"Joss Stone"
"Somewhere Only We Know";"Keane"
"In Your Eyes";"Kylie Minogue"
"Do Wah Diddy Diddy";"Manfred Mann"
"Personal Jesus";"Marilyn Manson"
"Obviously";"McFly"
"These Words";"Natasha Bedingfield"
"Roses";"OutKast"
"Let Me Entertain You";"Robbie Williams"
"Kids";"Robbie Williams and Kylie Minogue"
"Father and Son";"Ronan Keating";"Yusuf Islam"
"We Are Family";"Sister Sledge"
"Born To Be Wild";"Steppenwolf"
"It's Not Unusual";"Tom Jones"
