"Dumb";"The 411"
"1 Thing";"Amerie"
"Back To Black";"Amy Winehouse"
"I'm Outta Love";"Anastacia"
"Come As You Are";"Beverley Knight"
"Pump It";"Black Eyed Peas"
"Yo (Excuse Me Miss)";"Chris Brown"
"AM To PM";"Christina Milian"
"I'd Like To";"Corinne Bailey Rae"
"Bootylicious";"Destiny's Child"
"Baby Love";"Diana Ross & The Supremes"
"Summertime";"DJ Jazzy Jeff & The Fresh Prince"
"War";"Edwin Starr"
"My Lovin'";"En Vogue"
"I Can't Help Myself";"The Four Tops"
"Hollaback Girl";"Gwen Stefani"
"Good Life";"Inner City"
"Thank You";"Jamelia"
"Alright";"Jamiroquai"
"Never Too Much";"Luther Vandross"
"Stop Me";"Mark Ronson";"Daniel Merriweather"
"Dancing In The Street";"Martha Reeves & The Vandellas"
"Ain't No Mountain High Enough";"Marvin Gaye & Tammi Tarrell"
"Idlewild Blue (Don'tchu Worry 'Bout Me)";"OutKast"
"Buttons";"The Pussycat Dolls"
"We Ride";"Rihanna"
"Push It";"Salt'N'Pepa"
"Ugly";"Sugababes"
"My Love Is Your Love";"Whitney Houston"
"Teardrops";"Womack & Womack"
