"Besser Geht's Nicht";"2raumwohnung"
"Chasing Pavements";"Adele"
"Tears Dry On Their Own";"Amy Winehouse"
"The One And Only";"Chesney Hawkes"
"Tubthumping";"Chumbawamba"
"Hamma";"Culcha Candela"
"Let's Dance";"David Bowie"
"I'm Coming Out";"Diana Ross"
"Good Enough";"Dodgy"
"She Works Hard for the Money";"Donna Summer"
"I'm Still Standing";"Elton John"
"Easy";"Faith No More"
"Everytime";"The Flames"
"Vom Selben Stern";"Ich + Ich"
"No Matter";"Jack Radics"
"Summer in the City";"Joe Cocker"
"I Predict A Riot";"Kaiser Chiefs"
"Suddenly I See";"KT Tunstall"
"Big Girl (You Are Beautiful)";"Mika"
"Man Lebt Nur Einmal";"Ohrbooten"
"Mysterious Girl";"Peter André"
"Hey There Delilah";"Plain White T's"
"Disco 2000";"Pulp"
"Umbrella";"Rihanna"
"Die Liste";"Roger Cicero"
"When Did Your Heart Go Missing?";"Rooney"
"Summer Son";"Texas"
"An Deiner Seite (Ich Bin Da)";"Tokio Hotel"
"Hold The Line";"Toto"
"Club Tropicana";"Wham!"
