"Amika";"Amika"
"Het is zomer";"Amika"
"Het geheim";"Het Huis Anubis"
"Het huis anubis";"Het Huis Anubis"
"Het pad der 7 zonden";"Het Huis Anubis"
"Alle kleuren";"K3"
"Kuma hè";"K3"
"Kusjesdag";"K3"
"Oya lèlè";"K3"
"Ya ya yippee";"K3"
"Toveren";"K3"
"Het ploplied";"Kabouter Plop"
"Kabouterdans";"Kabouter Plop"
"Lalala";"Kabouter Plop"
"Sjoebi doebi dabidee";"Kabouter Plop"
"Ik ben Mega Mindy";"Mega Mindy"
"Mega mindy tijd";"Mega Mindy"
"Tijd voor Mega Mindy";"Mega Mindy"
"Halloween";"Piet Piraat"
"Piet piraat";"Piet Piraat"
"Piet piraat is op vakantie";"Piet Piraat"
"Storm op zee";"Piet Piraat"
"De wereld is mooi";"Samson en Gert"
"Samsonrock";"Samson en Gert"
"Vrede op aarde";"Samson en Gert"
