"No Limit";"2 Unlimited"
"Chasing Pavements";"Adele"
"Tears Dry On Their Own";"Amy Winehouse"
"The Tide Is High";"Blondie"
"The One And Only";"Chesney Hawkes"
"Let's Dance";"David Bowie"
"I'm Coming Out";"Diana Ross"
"Cool With You";"Di-Rect"
"Radio";"Dolly Dots"
"I'm Still Standing";"Elton John"
"Heb Je Even Voor Mij?";"Frans Bauer"
"Little Green Bag";"George Baker Selection"
"Call The Shots";"Girls Aloud"
"When The Lady Smiles";"Golden Earring"
"Ik Bel Je Zomaar Even Op";"Gordon"
"Het is een nacht (live)";"Guus Meeuwis & Vagant"
"Ga Maar Weg";"Jannes"
"I Predict A Riot";"Kaiser Chiefs"
"Mambo No. 5";"Lou Bega"
"Respectable";"Mel & Kim"
"Big Girl (You Are Beautiful)";"Mika"
"Mysterious Girl";"Peter André"
"Umbrella";"Rihanna"
"Red Dress";"Sugababes"
"Summer Son";"Texas"
"Hold The Line";"Toto"
"Club Tropicana";"Wham!"
"Ik Heb De Hele Nacht Liggen Dromen";"Wolter Kroes"
"The Only Way Is Up";"Yazz"
