"Never Let It Go";"Afro-dite"
"ABC";"Anna Book"
"Eloise";"Arvingarna"
"Ooa hela natten";"Attack"
"Kom hem";"Barbados"
"Crazy in Love";"Beyoncé"
"What's My Age Again?";"Blink-182"
"Fångad av en stormvind";"Carola"
"Never Be Afraid Again";"Christian Walz"
"Should I Stay or Should I Go";"The Clash"
"Coming True";"Daniel Lindström"
"Money for Nothing";"Darin"
"Lyssna Till Ditt Hjärta";"Friends"
"I Just Wanna Live";"Good Charlotte"
"Main Offender";"The Hives"
"Vi kan gunga";"Jimmy Jansson"
"In Your Eyes";"Kylie Minogue"
"Det gör ont";"Lena Philipsson"
"Himlen runt hörnet";"Lisa Nilsson"
"Värsta grymma tjejen";"Magnus Uggla"
"Do Wah Diddy Diddy";"Manfred Mann"
"Sarah";"Mauro Scocco"
"Roses";"OutKast"
"Hos dig är jag underbar";"Patrik Isaksson"
"Let Me Entertain You";"Robbie Williams"
"Kids";"Robbie Williams and Kylie Minogue"
"Show Me Love";"Robyn"
"Born To Be Wild";"Steppenwolf"
"It's Not Unusual";"Tom Jones"
"Under ytan";"Uno Svenningsson"
